"Statistiche Fantacalcio 2019-20 ",,,,,,,,,,,,,,,,
Id,R,Nome,Squadra,Pg,Mv,Mf,Gf,Gs,Rp,Rc,R+,R-,Ass,Amm,Esp,Au
4,P,SPORTIELLO,Atalanta,0,0,0,0,0,0,0,0,0,0,0,0,0
11,D,CONTI,Milan,0,0,0,0,0,0,0,0,0,0,0,0,0
15,D,MASIELLO,Genoa,0,0,0,0,0,0,0,0,0,0,0,0,0
22,C,"DE ROON",Atalanta,0,0,0,0,0,0,0,0,0,0,0,0,0
26,C,GOMEZ,Atalanta,0,0,0,0,0,0,0,0,0,0,0,0,0
41,P,MIRANTE,Roma,0,0,0,0,0,0,0,0,0,0,0,0,0
58,C,DIAWARA,Roma,0,0,0,0,0,0,0,0,0,0,0,0,0
140,D,HYSAJ,Napoli,0,0,0,0,0,0,0,0,0,0,0,0,0
142,D,"MARIO RUI",Napoli,0,0,0,0,0,0,0,0,0,0,0,0,0
148,C,KRUNIC,Milan,0,0,0,0,0,0,0,0,0,0,0,0,0
152,C,ZIELINSKI,Napoli,0,0,0,0,0,0,0,0,0,0,0,0,0
160,P,TATARUSANU,"Olympique Lione",0,0,0,0,0,0,0,0,0,0,0,0,0
177,A,ILICIC,Atalanta,0,0,0,0,0,0,0,0,0,0,0,0,0
181,C,VECINO,Inter,0,0,0,0,0,0,0,0,0,0,0,0,0
184,C,BERNARDESCHI,Juventus,0,0,0,0,0,0,0,0,0,0,0,0,0
186,A,REBIC,Milan,0,0,0,0,0,0,0,0,0,0,0,0,0
226,D,IZZO,Torino,0,0,0,0,0,0,0,0,0,0,0,0,0
237,C,PEROTTI,Roma,0,0,0,0,0,0,0,0,0,0,0,0,0
238,C,RINCON,Torino,0,0,0,0,0,0,0,0,0,0,0,0,0
250,P,HANDANOVIC,Inter,0,0,0,0,0,0,0,0,0,0,0,0,0
252,D,BIRAGHI,Inter,0,0,0,0,0,0,0,0,0,0,0,0,0
253,D,D'AMBROSIO,Inter,0,0,0,0,0,0,0,0,0,0,0,0,0
265,C,BROZOVIC,Inter,0,0,0,0,0,0,0,0,0,0,0,0,0
